

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
040.438  008.000  000.025: require('j0rdi.lib')
040.440  037.932  000.026: sourcing /home/j0rdi/.config/nvim/init.lua
040.450  000.917: sourcing vimrc file(s)
040.784  000.011  000.011: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
040.932  000.007  000.007: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
041.009  000.012  000.012: sourcing /usr/share/vim/vimfiles/ftdetect/conkyrc.vim
041.029  000.012  000.012: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
041.224  000.574  000.532: sourcing /usr/share/nvim/runtime/filetype.lua
041.248  000.011  000.011: sourcing /usr/share/nvim/runtime/filetype.vim
041.470  000.064  000.064: sourcing /usr/share/nvim/runtime/syntax/synload.vim
041.569  000.280  000.215: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
042.309  000.100  000.100: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
042.325  000.006  000.006: sourcing /usr/share/nvim/runtime/plugin/health.vim
042.600  000.109  000.109: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
042.657  000.322  000.213: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
042.762  000.095  000.095: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
042.987  000.212  000.212: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
043.103  000.006  000.006: sourcing /home/j0rdi/.local/share/nvim/rplugin.vim
043.109  000.102  000.096: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
043.158  000.038  000.038: sourcing /usr/share/nvim/runtime/plugin/shada.vim
043.189  000.015  000.015: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
043.271  000.068  000.068: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
043.339  000.052  000.052: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
043.364  000.011  000.011: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
043.487  000.097  000.097: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
045.832  000.164  000.164: require('which-key.util')
045.836  000.298  000.134: require('which-key.tree')
045.982  000.145  000.145: require('which-key.config')
045.987  000.795  000.353: require('which-key.keys')
045.990  002.086  001.291: require('which-key')
046.463  000.069  000.069: require('nvim-autopairs._log')
046.790  000.324  000.324: require('nvim-autopairs.utils')
047.421  000.286  000.286: require('nvim-autopairs.conds')
047.428  000.487  000.201: require('nvim-autopairs.rule')
047.431  000.639  000.152: require('nvim-autopairs.rules.basic')
047.440  001.423  000.390: require('nvim-autopairs')
048.034  000.227  000.227: require('packer.load')
050.074  000.174  000.174: require('nvim-treesitter.utils')
050.969  000.892  000.892: require('nvim-treesitter.parsers')
052.224  000.294  000.294: require('nvim-treesitter.ts_utils')
052.232  000.460  000.166: require('nvim-treesitter.tsrange')
052.338  000.105  000.105: require('nvim-treesitter.caching')
052.353  000.847  000.282: require('nvim-treesitter.query')
052.367  001.200  000.353: require('nvim-treesitter.configs')
052.370  001.398  000.198: require('nvim-treesitter.info')
052.589  000.217  000.217: require('nvim-treesitter.shell_command_selectors')
052.612  003.225  000.543: require('nvim-treesitter.install')
052.713  000.099  000.099: require('nvim-treesitter.statusline')
052.875  000.159  000.159: require('nvim-treesitter.query_predicates')
052.877  004.555  001.072: require('nvim-treesitter')
053.125  004.833  000.278: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
054.507  001.146  001.146: require('nvim-treesitter-textobjects')
055.099  000.249  000.249: require('nvim-treesitter.textobjects.shared')
055.104  000.475  000.226: require('nvim-treesitter.textobjects.select')
055.558  000.192  000.192: require('nvim-treesitter.textobjects.attach')
055.830  000.269  000.269: require('nvim-treesitter.textobjects.repeatable_move')
055.847  000.731  000.270: require('nvim-treesitter.textobjects.move')
056.151  000.167  000.167: require('nvim-treesitter.textobjects.swap')
056.410  000.233  000.233: require('nvim-treesitter.textobjects.lsp_interop')
056.422  003.072  000.320: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/opt/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
057.814  001.133  001.133: require('nvim-treesitter-playground')
